9.987084529739755911e-01,9.987464588931362908e-01,9.987083762461667069e-01,9.987057082595162116e-01
9.985298126629706950e-01,9.986689809816396979e-01,9.987491160173794791e-01,9.987545435801130633e-01
9.987440732440969748e-01,9.987708367240000218e-01,9.987659297920177259e-01,9.987426801241674479e-01
9.987685896424317589e-01,9.987690068980649150e-01,9.987689798707284350e-01,9.988007472153773714e-01
9.988135589944031612e-01,9.988046851932103065e-01,9.988027956760547887e-01,9.988109763076826741e-01
9.988500283685799452e-01,9.988506343848037039e-01,9.988856607307565749e-01,9.988471761263137960e-01
9.988986854265171633e-01,9.988935312263933497e-01,9.988910925612881631e-01,9.988941110114196720e-01
9.989387063017984847e-01,9.989409626104854834e-01,9.990158883450412919e-01,9.989192611665331789e-01
9.985058632338498219e-01,9.987295199576017302e-01,9.987316763489846316e-01,9.987484562444042258e-01
9.876618798184423342e-01,9.740635457241237916e-01,9.867755965670583773e-01,9.987415848899385828e-01
9.928917637690024556e-01,9.982017710855568549e-01,9.845587108618721883e-01,9.987494787137062291e-01
9.975444305165497294e-01,8.721419008688869878e-01,4.816467105800789072e-01,9.987757975809796740e-01
8.878447029755430764e-01,9.099539959079651075e-01,9.819655601314837279e-01,9.988335464043730516e-01
9.961663350353500146e-01,9.636387803785557704e-01,9.913406381542413381e-01,9.989099704443673566e-01
9.980475301406870337e-01,9.980764972907568700e-01,9.906209336780340546e-01,9.989995454164453115e-01
9.989101823665049729e-01,9.989269885571991914e-01,9.991045770833063555e-01,9.989214248768106819e-01
9.986992530771277021e-01,9.951235172290977538e-01,9.888561677064289235e-01,9.814140910549792318e-01
9.882638089526591951e-01,6.936760876248146968e-01,6.919867993194488420e-01,7.460336987673317211e-01
9.841336674592786604e-01,5.203617491506045134e-01,2.615787797507559964e-01,2.800520492960270613e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.077014199067503952e-01,9.719446966500626395e-02,9.775436973097930693e-01,2.165843906000673724e-01
2.438407504289860639e-01,2.835421432816719323e-01,3.425339355360832450e-01,9.719110793236476198e-01
7.143642618921121068e-01,7.950783111803212400e-01,9.906148188961660939e-01,7.730603652285227279e-01
9.986087862062851261e-01,9.984556257622518860e-01,9.992250740801090769e-01,9.954151003204652071e-01
9.983158021856323172e-01,9.875948344623137753e-01,9.074486340378614679e-01,9.779953778456547120e-01
6.120947370020595191e-01,7.260149197100700391e-01,6.917862457771674078e-01,5.252152811095469609e-01
9.437405316380200748e-01,2.301488819186173762e-01,3.541673908950372374e-01,1.262186556754660849e-01
1.565639553672963993e-02,6.421553092346092839e-01,1.235841211602332554e-02,2.464332722379451723e-02
4.856263373374306580e-01,1.381353584368637533e-01,7.259782939277016622e-02,2.721092366679004823e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.952088776829057237e-01,3.895859277255574460e-01,9.838345788378395351e-01,2.450693227272578156e-01
9.955185217529411990e-01,9.955309900887074903e-01,9.995168507311980033e-01,9.791318427322290852e-01
9.980310765030924181e-01,8.510174059720900797e-01,8.013718200078668863e-01,9.765480209097855413e-01
5.423088695188603703e-01,2.787856027212225474e-01,1.150106231342045843e-01,7.736293853611184712e-01
4.005990064544036333e-02,1.815502200101132974e-02,5.701307405020986444e-03,1.259336918808006411e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.756746114671062120e-02,8.175044320096605532e-02,3.752765039444237449e-01,6.297155566471715482e-02
2.195519242666316151e-01,4.683429663804494769e-01,7.676833641292633847e-02,1.120035296793245178e-01
2.052092615419666699e-01,2.130929992667234818e-01,4.757327715526903922e-01,8.941213055031327350e-01
9.901373342463576366e-01,8.686545214131964343e-01,9.996805250439697588e-01,9.245051246560213043e-01
